name,isin,category,sub_category,fund_house
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,INF209K01LV0,Debt,Banking and PSU Debt,Aditya Mutual Fund
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,INF209K01LT4,Debt,Banking and PSU Debt,Aditya Mutual Fund
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,INF209K01YN0,Debt,Banking and PSU Debt,Aditya Mutual Fund
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,INF846K01CR6,Debt,Banking and PSU Debt,Axis Mutual Fund
Axis Banking & PSU Debt Fund - Regular Plan - Growth option,INF846K01CB0,Debt,Banking and PSU Debt,Axis Mutual Fund
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,INF0QA701557,Debt,Banking and PSU Debt,Bajaj Mutual Fund
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,INF0QA701607,Debt,Banking and PSU Debt,Bajaj Mutual Fund
Bandhan Banking and PSU Fund - Direct Growth,INF194K015G8,Debt,Banking and PSU Debt,Bandhan Mutual Fund
Bandhan Banking and PSU Fund - Regular Growth,INF194K01SN6,Debt,Banking and PSU Debt,Bandhan Mutual Fund
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,INF955L01KC8,Debt,Banking and PSU Debt,Baroda Mutual Fund
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,INF955L01JX6,Debt,Banking and PSU Debt,Baroda Mutual Fund
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,INF760K01KC4,Debt,Banking and PSU Debt,Canara Mutual Fund
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,INF760K01KF7,Debt,Banking and PSU Debt,Canara Mutual Fund
DSP Banking & PSU Debt Fund - Direct Plan - Growth,INF740K01ZW2,Debt,Banking and PSU Debt,DSP Mutual Fund
DSP Banking & PSU Debt Fund - Regular Plan - Growth,INF740K01ZP6,Debt,Banking and PSU Debt,DSP Mutual Fund
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,INF843K01FC8,Debt,Banking and PSU Debt,Edelweiss Mutual Fund
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,INF843K01FK1,Debt,Banking and PSU Debt,Edelweiss Mutual Fund
Franklin India Banking & PSU Debt Fund - Direct - Growth,INF090I01KR8,Debt,Banking and PSU Debt,Franklin Mutual Fund
Franklin India Banking & PSU Debt Fund - Growth,INF090I01KO5,Debt,Banking and PSU Debt,Franklin Mutual Fund
HDFC Banking and PSU Debt Fund - Growth Option,INF179KA1JC4,Debt,Banking and PSU Debt,HDFC Mutual Fund
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,INF179KA1IZ7,Debt,Banking and PSU Debt,HDFC Mutual Fund
HSBC Banking and PSU Debt Fund - Direct Growth,INF917K01HH5,Debt,Banking and PSU Debt,HSBC Mutual Fund
HSBC Banking and PSU Debt Fund - Regular Growth,INF677K01AE7,Debt,Banking and PSU Debt,HSBC Mutual Fund
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,INF109K010A6,Debt,Banking and PSU Debt,ICICI Mutual Fund
ICICI Prudential Banking and PSU Debt Fund - Growth,INF109K01RT3,Debt,Banking and PSU Debt,ICICI Mutual Fund
ICICI Prudential Banking and PSU Debt Fund Retail Growth,INF109K01II5,Debt,Banking and PSU Debt,ICICI Mutual Fund
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,INF205K01KT4,Debt,Banking and PSU Debt,Invesco Mutual Fund
Invesco India Banking and PSU Fund - Growth Option,INF205K01JV2,Debt,Banking and PSU Debt,Invesco Mutual Fund
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,INF00XX01861,Debt,Banking and PSU Debt,ITI Mutual Fund
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,INF00XX01838,Debt,Banking and PSU Debt,ITI Mutual Fund
Kotak Banking and PSU Debt - Growth,INF174K01FO3,Debt,Banking and PSU Debt,Kotak Mutual Fund
Kotak Banking and PSU Debt Direct - Growth,INF174K01KH7,Debt,Banking and PSU Debt,Kotak Mutual Fund
LIC MF Banking & PSU Fund-Direct Plan-Growth,INF767K01GI4,Debt,Banking and PSU Debt,LIC Mutual Fund
LIC MF Banking & PSU Fund-Regular Plan-Growth,INF767K01535,Debt,Banking and PSU Debt,LIC Mutual Fund
Mirae Asset Banking and PSU Fund - Direct Plan - Growth,INF769K01FY9,Debt,Banking and PSU Debt,Mirae Mutual Fund
Mirae Asset Banking and PSU Fund - Regular Plan - Growth,INF769K01FV5,Debt,Banking and PSU Debt,Mirae Mutual Fund
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,INF204KA1U53,Debt,Banking and PSU Debt,Nippon Mutual Fund
Nippon India Banking and PSU Fund- Growth Plan- Growth Option,INF204KA1T56,Debt,Banking and PSU Debt,Nippon Mutual Fund
SBI BANKING & PSU FUND - Direct Plan - Growth,INF200K01V08,Debt,Banking and PSU Debt,SBI Mutual Fund
SBI BANKING & PSU FUND - Regular Paln - Growth,INF200K01U41,Debt,Banking and PSU Debt,SBI Mutual Fund
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,INF903J017I5,Debt,Banking and PSU Debt,Sundaram Mutual Fund
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,INF903J016H9,Debt,Banking and PSU Debt,Sundaram Mutual Fund
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,INF903J01PA5,Debt,Banking and PSU Debt,Sundaram Mutual Fund
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,INF903J01IN3,Debt,Banking and PSU Debt,Sundaram Mutual Fund
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,INF903J01IK9,Debt,Banking and PSU Debt,Sundaram Mutual Fund
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH,INF0GCD01107,Debt,Banking and PSU Debt,TRUSTMF Mutual Fund
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH,INF0GCD01016,Debt,Banking and PSU Debt,TRUSTMF Mutual Fund
UTI Banking & PSU Fund - Direct Plan - Growth Option,INF789F015Z6,Debt,Banking and PSU Debt,UTI Mutual Fund
UTI Banking & PSU Fund- Regular Plan - Growth Option,INF789F014Z9,Debt,Banking and PSU Debt,UTI Mutual Fund
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,INF209K01S38,Debt,Corporate Bond,Aditya Mutual Fund
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,INF209K01785,Debt,Corporate Bond,Aditya Mutual Fund
Axis Corporate Bond Fund - Direct Plan Growth,INF846K01ZM8,Debt,Corporate Bond,Axis Mutual Fund
Axis Corporate Bond Fund - Regular Plan Growth,INF846K01ZU1,Debt,Corporate Bond,Axis Mutual Fund
BANDHAN Corporate Bond Fund - Direct Growth,INF194KA1M23,Debt,Corporate Bond,BANDHAN Mutual Fund
BANDHAN Corporate Bond Fund - Regular Growth,INF194KA1L81,Debt,Corporate Bond,BANDHAN Mutual Fund
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,INF251K01EI4,Debt,Corporate Bond,BARODA Mutual Fund
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,INF251K01GP4,Debt,Corporate Bond,BARODA Mutual Fund
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION,INF251K01EP9,Debt,Corporate Bond,BARODA Mutual Fund
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,INF760K01HB2,Debt,Corporate Bond,CANARA Mutual Fund
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,INF760K01GY6,Debt,Corporate Bond,CANARA Mutual Fund
DSP Corporate Bond Fund - Direct - Growth,INF740KA1KE8,Debt,Corporate Bond,DSP Mutual Fund
DSP Corporate Bond Fund - Regular - Growth,INF740KA1JX0,Debt,Corporate Bond,DSP Mutual Fund
Franklin India Corporate Debt Fund - Direct - GROWTH,INF090I01FW8,Debt,Other,Franklin Mutual Fund
Franklin India Corporate Debt Fund - Growth,INF090I01DG6,Debt,Other,Franklin Mutual Fund
HDFC Corporate Bond Fund - Growth Option,INF179K01DC2,Debt,Corporate Bond,HDFC Mutual Fund
HDFC Corporate Bond Fund - Growth Option - Direct Plan,INF179K01XD8,Debt,Corporate Bond,HDFC Mutual Fund
HSBC Corporate Bond Fund - Direct Growth,INF917K01HN3,Debt,Corporate Bond,HSBC Mutual Fund
HSBC Corporate Bond Fund - Regular Growth,INF917K01AH0,Debt,Corporate Bond,HSBC Mutual Fund
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,INF109K016B1,Debt,Corporate Bond,ICICI Mutual Fund
ICICI Prudential Corporate Bond Fund - Growth,INF109K01CQ1,Debt,Corporate Bond,ICICI Mutual Fund
ICICI Prudential Corporate Bond Fund Retail Growth,INF109K01CE7,Debt,Corporate Bond,ICICI Mutual Fund
Invesco India Corporate Bond Fund - Direct Plan - Growth,INF205K01RF8,Debt,Corporate Bond,Invesco Mutual Fund
Invesco India Corporate Bond Fund - Growth,INF205K01RM4,Debt,Corporate Bond,Invesco Mutual Fund
Kotak Coporate Bond Fund- Retail Plan-Growth Option,-,Debt,Other,Kotak Mutual Fund
Kotak Corporate Bond Fund- Direct Plan- Growth Option,INF178L01BY0,Debt,Corporate Bond,Kotak Mutual Fund
Kotak Corporate Bond Fund- Institutional Plan-Growth Option,INF178L01921,Other,Other,Kotak Mutual Fund
Kotak Corporate Bond Fund- Regular Plan-Growth Option,INF178L01BO1,Debt,Corporate Bond,Kotak Mutual Fund
Mirae Asset Corporate Bond Fund Direct Growth Plan,INF769K01HD9,Debt,Corporate Bond,Mirae Mutual Fund
Mirae Asset Corporate Bond Fund Regular Growth,INF769K01HA5,Debt,Corporate Bond,Mirae Mutual Fund
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option,INF204K01C15,Debt,Corporate Bond,Nippon Mutual Fund
Nippon India Corporate Bond Fund - Growth Plan - Growth Option,INF204K01EF9,Debt,Corporate Bond,Nippon Mutual Fund
PGIM India Corporate Bond Fund - Direct Plan - Growth,INF223J01OO2,Debt,Corporate Bond,PGIM Mutual Fund
PGIM India Corporate Bond Fund - Growth,INF223J01DB2,Debt,Corporate Bond,PGIM Mutual Fund
PGIM India Corporate Bond Fund - Premium Plus Plan - Growth,INF223J01CQ2,Debt,Corporate Bond,PGIM Mutual Fund
SBI Corporate Bond Fund - Direct Plan - Growth,INF200KA1YR4,Debt,Corporate Bond,SBI Mutual Fund
SBI Corporate Bond Fund - Regular Plan - Growth,INF200KA1YM5,Debt,Corporate Bond,SBI Mutual Fund
Sundaram Corporate Bond Fund Direct Plan - Growth,INF903J01NR4,Debt,Corporate Bond,Sundaram Mutual Fund
Sundaram Corporate Bond Fund Regular Plan- Growth,INF903J01HW6,Debt,Corporate Bond,Sundaram Mutual Fund
Tata Corporate Bond Fund-Direct Plan-Growth,INF277KA1224,Debt,Corporate Bond,Tata Mutual Fund
Tata Corporate Bond Fund-Regular Plan-Growth,INF277KA1299,Debt,Corporate Bond,Tata Mutual Fund
TRUSTMF CORPORATE BOND FUND-DIRECT PLAN-GROWTH,INF0GCD01560,Debt,Corporate Bond,TRUSTMF Mutual Fund
TRUSTMF CORPORATE BOND FUND-REGULAR PLAN-GROWTH,INF0GCD01537,Debt,Corporate Bond,TRUSTMF Mutual Fund
Union Corporate Bond Fund - Direct Plan - Growth Option,INF582M01DU5,Debt,Corporate Bond,Union Mutual Fund
Union Corporate Bond Fund - Regular Plan - Growth Option,INF582M01DY7,Debt,Corporate Bond,Union Mutual Fund
UTI - Bond Fund ( Segregated - 17022020) - Regular Plan - Growth Option,INF789F1AOW2,Debt,Other,UTI Mutual Fund
UTI - Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option,INF789F1APF4,Debt,Other,UTI Mutual Fund
UTI Corporate Bond Fund - Direct Plan - Growth Option,INF789F1A538,Debt,Corporate Bond,UTI Mutual Fund
UTI Corporate Bond Fund - Regular Plan - Growth Option,INF789F1A447,Debt,Corporate Bond,UTI Mutual Fund
Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth,INF209KA1K88,Debt,Credit Risk,Aditya Mutual Fund
Aditya Birla Sun Life Credit Risk Fund - Regular Plan - Growth,INF209KA1K47,Debt,Credit Risk,Aditya Mutual Fund
Axis Credit Risk Fund - Direct Plan - Growth,INF846K01PJ5,Debt,Credit Risk,Axis Mutual Fund
Axis Credit Risk Fund - Regular Plan - Growth,INF846K01PO5,Debt,Credit Risk,Axis Mutual Fund
BANDHAN Credit Risk Fund - Regular Plan Growth,INF194KA1W39,Debt,Credit Risk,BANDHAN Mutual Fund
BANDHAN Credit Risk Fund-Direct Plan-Growth,INF194KA1X61,Debt,Credit Risk,BANDHAN Mutual Fund
Baroda BNP Paribas Credit risk fund -Defunct -Growth option -Seg-Portfolio 2 (erstwhile BBNPP Medium Duration Fund-Defunct Growth Option Seg.Portfolio1),INF955L01JM9,Debt,Medium Duration,Baroda Mutual Fund
Baroda BNP Paribas Credit Risk fund -Direct - Growth option -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Direct-Growth option Seg. Portfolio 1),INF955L01JF3,Debt,Medium Duration,Baroda Mutual Fund
Baroda BNP Paribas Credit Risk Fund -Direct-Growth Option,INF955L01FR6,Debt,Credit Risk,Baroda Mutual Fund
Baroda BNP Paribas Credit Risk fund -Regular-Growth -Seg. Portfolio 2 (erstwhile BBNPP Medium Duration Fund Regular Growth Seg. Portfolio 1),INF955L01IY6,Debt,Medium Duration,Baroda Mutual Fund
Baroda BNP Paribas Credit Risk Fund -Regular-Growth Option,INF955L01FP0,Debt,Credit Risk,Baroda Mutual Fund
Baroda BNP Paribas Credit Risk Fund- Direct- Growth Option- Segregated Portfolio- 1,INF955L01IT6,Debt,Credit Risk,Baroda Mutual Fund
Baroda BNP Paribas Credit Risk Fund- Regular- Growth Option- Segregated Portfolio- 1,INF955L01IO7,Debt,Credit Risk,Baroda Mutual Fund
DSP Credit Risk Fund - Direct Plan - Growth,INF740K01OS4,Debt,Credit Risk,DSP Mutual Fund
DSP Credit Risk Fund - Regular Plan -Growth,INF740K01599,Debt,Credit Risk,DSP Mutual Fund
Franklin India Credit Risk Fund - Direct - Growth,INF090I01JL3,Debt,Credit Risk,Franklin Mutual Fund
Franklin India Credit Risk Fund - Growth,INF090I01ET7,Debt,Credit Risk,Franklin Mutual Fund
Franklin India Credit Risk Fund - Segregated Portfolio 3 (9.50% Yes bank Ltd CO 23Dec21) - Direct Growth Plan,INF090I01VZ8,Debt,Credit Risk,Franklin Mutual Fund
Franklin India Credit Risk Fund - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Growth Plan,INF090I01VX3,Debt,Credit Risk,Franklin Mutual Fund
Franklin India Credit Risk Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan,INF090I01TL2,Debt,Credit Risk,Franklin Mutual Fund
Franklin India Credit Risk Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Plan,INF090I01TJ6,Debt,Credit Risk,Franklin Mutual Fund
Franklin India Credit Risk Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct Growth Plan,INF090I01TP3,Debt,Credit Risk,Franklin Mutual Fund
Franklin India Credit Risk Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Plan,INF090I01TN8,Debt,Credit Risk,Franklin Mutual Fund
HDFC Credit Risk Debt Fund - Growth Option,INF179KA1GC0,Debt,Credit Risk,HDFC Mutual Fund
HDFC Credit Risk Debt Fund - Growth Option - Direct Plan,INF179KA1FZ3,Debt,Credit Risk,HDFC Mutual Fund
HSBC Credit Risk Fund - Direct Growth,INF917K01UH8,Debt,Credit Risk,HSBC Mutual Fund
HSBC Credit Risk Fund - Regular Growth,INF917K01130,Debt,Credit Risk,HSBC Mutual Fund
ICICI Prudential Credit Risk Fund - Direct Plan - Growth,INF109K01V00,Debt,Credit Risk,ICICI Mutual Fund
ICICI Prudential Credit Risk Fund - Growth,INF109K01GU4,Debt,Credit Risk,ICICI Mutual Fund
Invesco India Credit Risk Fund - Direct Plan - Growth,INF205K01I83,Debt,Credit Risk,Invesco Mutual Fund
Invesco India Credit Risk Fund - Regular Plan - Growth,INF205K01I34,Debt,Credit Risk,Invesco Mutual Fund
Kotak Credit Risk Fund - Growth,INF174K01DY7,Debt,Credit Risk,Kotak Mutual Fund
Kotak Credit Risk Fund - Growth - Direct,INF174K01LZ7,Debt,Credit Risk,Kotak Mutual Fund
Nippon India Credit Risk Fund  - Growth Plan,INF204K01FQ3,Debt,Credit Risk,Nippon Mutual Fund
Nippon India Credit Risk Fund  - Institutional Growth Plan,INF204K01FT7,Other,Other,Nippon Mutual Fund
Nippon India Credit Risk Fund - Direct Plan - Growth Plan,INF204K01A74,Debt,Credit Risk,Nippon Mutual Fund
Nippon India Credit Risk Fund - Segregated Portfolio 1 - Direct Plan - Growth Plan,INF204KB12L0,Debt,Credit Risk,Nippon Mutual Fund
Nippon India Credit Risk Fund - Segregated Portfolio 1 - Growth Plan,INF204KB17L9,Debt,Credit Risk,Nippon Mutual Fund
Nippon India Credit Risk Fund - Segregated Portfolio 1 - Institutional Growth Plan,INF204KB18L7,Other,Other,Nippon Mutual Fund
Nippon India Credit Risk Fund - Segregated Portfolio 2 - Direct Plan - Growth Plan,INF204KB14P7,Debt,Credit Risk,Nippon Mutual Fund
Nippon India Credit Risk Fund - Segregated Portfolio 2 - Growth Plan,INF204KB19P6,Debt,Credit Risk,Nippon Mutual Fund
Nippon India Credit Risk Fund - Segregated Portfolio 2 - Institutional Growth Plan,INF204KB10Q3,Other,Other,Nippon Mutual Fund
SBI CREDIT RISK FUND - DIRECT PLAN -GROWTH,INF200K01SV4,Debt,Credit Risk,SBI Mutual Fund
SBI CREDIT RISK FUND - REGULAR PLAN - GROWTH,INF200K01685,Debt,Credit Risk,SBI Mutual Fund
UTI - Credit Risk Fund (Segregated - 06032020) - Direct Plan - Growth Option,INF789F1ARF0,Debt,Credit Risk,UTI Mutual Fund
UTI - Credit Risk Fund (Segregated - 06032020) - Regular Plan - Growth Option,INF789F1ARQ7,Debt,Credit Risk,UTI Mutual Fund
UTI - Credit Risk Fund (Segregated - 07072020) - Direct Plan - Growth Option,-,Debt,Credit Risk,UTI Mutual Fund
UTI - Credit Risk Fund (Segregated - 07072020) - Regular Plan - Growth Option,-,Debt,Credit Risk,UTI Mutual Fund
UTI - Credit Risk Fund (Segregated - 13092019) - Direct Plan - Growth Option,INF789F1AMK1,Debt,Credit Risk,UTI Mutual Fund
UTI - Credit Risk Fund (Segregated - 13092019) - Regular Plan - Growth Option,INF789F1AMV8,Debt,Credit Risk,UTI Mutual Fund
UTI - Credit Risk Fund (Segregated - 17022020) - Direct Plan - Growth Option,INF789F1ANG7,Debt,Credit Risk,UTI Mutual Fund
UTI - Credit Risk Fund (Segregated - 17022020) - Regular Plan - Growth Option,INF789F1ANR4,Debt,Credit Risk,UTI Mutual Fund
UTI Credit Risk Fund  - Regular Plan - Growth Option,INF789F01QZ1,Debt,Credit Risk,UTI Mutual Fund
UTI Credit Risk Fund - Direct Plan - Growth Option,INF789F01YB6,Debt,Credit Risk,UTI Mutual Fund
360 ONE Dynamic Bond Fund - Regular Plan - Growth Option,INF579M01183,Debt,Dynamic Bond,360 Mutual Fund
360 ONE Dynamic Bond Fund Direct Plan Growth,INF579M01266,Debt,Dynamic Bond,360 Mutual Fund
Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan,INF209K01N82,Debt,Dynamic Bond,Aditya Mutual Fund
Aditya Birla Sun Life Dynamic Bond Fund - Growth - Regular Plan,INF209K01793,Debt,Dynamic Bond,Aditya Mutual Fund
Aditya Birla Sun Life Dynamic Bond Fund-Discipline Advantage Plan-Growth,INF209K01JW2,Debt,Dynamic Bond,Aditya Mutual Fund
Axis Dynamic Bond Fund - Direct Plan - Growth Option,INF846K01DI3,Debt,Dynamic Bond,Axis Mutual Fund
Axis Dynamic Bond Fund - Regular Plan - Growth Option,INF846K01917,Debt,Dynamic Bond,Axis Mutual Fund
BANDHAN Dynamic Bond Fund - Regular Plan B - Growth,INF194K01QG4,Debt,Dynamic Bond,BANDHAN Mutual Fund
BANDHAN Dynamic Bond Fund-Direct Plan-Growth,INF194K01N63,Debt,Dynamic Bond,BANDHAN Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund - Direct Plan - Growth Option,INF251K01GW0,Debt,Dynamic Bond,Baroda Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund - Regular Plan - Growth Option,INF251K01DW7,Debt,Dynamic Bond,Baroda Mutual Fund
Baroda BNP Paribas Dynamic Bond Fund-Defunct Plan - Growth Option,INF251K01EF0,Debt,Dynamic Bond,Baroda Mutual Fund
CANARA ROBECO DYNAMIC BOND FUND - DIRECT PLAN - GROWTH OPTION,INF760K01EC7,Debt,Dynamic Bond,CANARA Mutual Fund
CANARA ROBECO DYNAMIC BOND FUND - REGULAR PLAN - GROWTH OPTION,INF760K01449,Debt,Dynamic Bond,CANARA Mutual Fund
DSP Strategic Bond Fund - Direct Plan - Growth,INF740K01QG4,Debt,Other,DSP Mutual Fund
DSP Strategic Bond Fund - Regular Plan - Growth,INF740K01GK7,Debt,Other,DSP Mutual Fund
Franklin India Dynamic Accrual Fund - Direct - Growth,INF090I01HB8,Other,Other,Franklin Mutual Fund
Franklin India Dynamic Accrual Fund - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Direct Growth Plan,INF090I01WD3,Other,Other,Franklin Mutual Fund
Franklin India Dynamic Accrual Fund - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Growth Plan,INF090I01WB7,Other,Other,Franklin Mutual Fund
Franklin India Dynamic Accrual Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan,INF090I01TT5,Other,Other,Franklin Mutual Fund
Franklin India Dynamic Accrual Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Plan,INF090I01TR9,Other,Other,Franklin Mutual Fund
Franklin India Dynamic Accrual Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct-Growth Plan,INF090I01TX7,Other,Other,Franklin Mutual Fund
Franklin India Dynamic Accrual Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Plan,INF090I01TV1,Other,Other,Franklin Mutual Fund
Franklin India Dynamic Accrual Fund-Growth,INF090I01BP1,Other,Other,Franklin Mutual Fund
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund) - Direct Plan - Growth option,INF666M01EK5,Debt,Dynamic Bond,Groww Mutual Fund
Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund) - Regular Plan - Growth option,INF666M01ES8,Debt,Dynamic Bond,Groww Mutual Fund
HDFC Dynamic Debt Fund - Growth Option,INF179K01848,Debt,Other,HDFC Mutual Fund
HDFC Dynamic Debt Fund - Growth Option - Direct Plan,INF179K01WB4,Debt,Other,HDFC Mutual Fund
HSBC Dynamic Bond Fund - Direct Growth,INF917K01HA0,Debt,Dynamic Bond,HSBC Mutual Fund
HSBC Dynamic Bond Fund - Regular Growth,INF677K01916,Debt,Dynamic Bond,HSBC Mutual Fund
ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth,INF109K016E5,Debt,Other,ICICI Mutual Fund
ICICI Prudential All Seasons Bond Fund - Growth,INF109K01GN9,Debt,Other,ICICI Mutual Fund
ICICI Prudential All Seasons Bond Fund - Premium Growth Option,INF109K01GM1,Debt,Other,ICICI Mutual Fund
ITI Dynamic Bond Fund - Direct Plan - Growth Option,INF00XX01BC4,Debt,Dynamic Bond,ITI Mutual Fund
ITI Dynamic Bond Fund - Regular Plan - Growth Option,INF00XX01AT0,Debt,Dynamic Bond,ITI Mutual Fund
JM Dynamic Bond Fund (Regular) - Growth Option,INF192K01700,Debt,Dynamic Bond,JM Mutual Fund
JM Dynamic Bond Fund - (Direct) - Growth Option,INF192K01DD3,Debt,Dynamic Bond,JM Mutual Fund
JM Dynamic Bond Fund - Premium Plan - Growth Option,INF192K01759,Debt,Dynamic Bond,JM Mutual Fund
Kotak Dynamic Bond Fund - Growth - Direct,INF174K01JU2,Debt,Dynamic Bond,Kotak Mutual Fund
Kotak Dynamic Bond Fund Regular Plan Growth,INF174K01FA2,Debt,Dynamic Bond,Kotak Mutual Fund
Mahindra Manulife Dynamic Bond Fund - Direct Plan - Growth,INF174V01580,Debt,Dynamic Bond,Mahindra Mutual Fund
Mahindra Manulife Dynamic Bond Fund - Regular Plan - Growth,INF174V01531,Debt,Dynamic Bond,Mahindra Mutual Fund
Mirae Asset Dynamic Bond Fund -Direct Plan -Growth,INF769K01DR8,Debt,Dynamic Bond,Mirae Mutual Fund
Mirae Asset Dynamic Bond Fund-Regular Plan Growth,INF769K01DO5,Debt,Dynamic Bond,Mirae Mutual Fund
Nippon India Dynamic Bond Fund - Direct Plan Growth Plan - Growth Option,INF204K01A25,Debt,Dynamic Bond,Nippon Mutual Fund
Nippon India Dynamic Bond Fund-Growth Plan-Growth Option,INF204K01FI0,Debt,Dynamic Bond,Nippon Mutual Fund
PGIM India Dynamic Bond Fund - Direct Plan-Growth Option,INF663L01AD7,Debt,Dynamic Bond,PGIM Mutual Fund
PGIM India Dynamic Bond Fund - Growth Option,INF663L01484,Debt,Dynamic Bond,PGIM Mutual Fund
Quantum Dynamic Bond Fund - Direct Plan Growth Option,INF082J01176,Debt,Dynamic Bond,Quantum Mutual Fund
Quantum Dynamic Bond Fund - Regular Plan Growth Option,INF082J01218,Debt,Dynamic Bond,Quantum Mutual Fund
SBI Dynamic Bond Fund - DIRECT PLAN - Growth,INF200K01RD4,Debt,Dynamic Bond,SBI Mutual Fund
SBI Dynamic Bond Fund - REGULAR PLAN - Growth,INF200K01958,Debt,Dynamic Bond,SBI Mutual Fund
Tata Dynamic Bond Fund- Direct Plan-Growth Option,INF277K01MV5,Debt,Dynamic Bond,Tata Mutual Fund
Tata Dynamic Bond Fund- Regular Plan - Growth Option,INF277K01360,Debt,Dynamic Bond,Tata Mutual Fund
Union Dynamic Bond Fund - Direct Plan - Growth Option,INF582M01799,Debt,Dynamic Bond,Union Mutual Fund
Union Dynamic Bond Fund - Growth Option,INF582M01336,Debt,Dynamic Bond,Union Mutual Fund
UTI - Dynamic Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option,INF789F1APX7,Debt,Dynamic Bond,UTI Mutual Fund
UTI - Dynamic Bond Fund (Segregated - 17022020) - Regular Plan - Growth Option,INF789F1APO6,Debt,Dynamic Bond,UTI Mutual Fund
UTI Dynamic Bond Fund - Direct Plan - Growth Option,INF789F01XD4,Debt,Dynamic Bond,UTI Mutual Fund
UTI Dynamic Bond Fund - Regular Plan - Growth Option,INF789F01JQ5,Debt,Dynamic Bond,UTI Mutual Fund
Aditya Birla Sun Life Floating Rate Fund-Direct Plan-Growth,INF209K01UX7,Debt,Other,Aditya Mutual Fund
Aditya Birla Sun Life Floating Rate Fund-Regular Plan-Growth,INF209K01MG9,Debt,Other,Aditya Mutual Fund
